Crop,Temp_low(C),Temp_high(C),Rain_low(cm),Rain_high(cm),Humidity_low(%),Humidity_high(%),Elevation(m),Loamy,Fertile,Suitable
Black Pepper,20.2,29.8,20.7,38.0,70.8,80.6,999,0,0,1
Black Pepper,23.7,29.7,23.1,28.4,70.3,80.0,166,0,0,1
Black Pepper,22.4,34.3,22.6,42.4,61.4,77.6,401,1,1,1
Black Pepper,21.6,29.7,16.5,37.3,73.8,84.1,1172,1,0,1
Black Pepper,18.9,29.9,16.5,28.1,68.5,82.1,817,1,1,1
Black Pepper,18.9,33.3,17.7,44.2,65.5,88.0,1396,1,1,1
Black Pepper,18.3,31.1,18.6,35.4,71.3,75.5,672,1,1,1
Black Pepper,23.2,33.4,19.1,26.5,63.9,84.7,1311,1,0,1
Black Pepper,21.6,28.5,21.8,37.5,70.4,86.4,701,1,1,1
Black Pepper,22.2,31.4,15.6,30.1,60.6,86.4,1470,1,1,0
Black Pepper,18.1,28.2,15.3,41.1,72.6,88.3,1442,1,0,1
Black Pepper,23.8,28.4,18.9,41.4,66.7,85.9,527,1,1,1
Black Pepper,23.0,34.3,22.0,44.6,69.6,88.9,1335,0,1,1
Black Pepper,19.3,29.0,16.9,35.0,63.3,80.0,1279,1,1,1
Black Pepper,19.1,31.7,21.4,34.1,70.2,82.5,355,0,1,0
Black Pepper,19.1,30.9,17.6,40.1,71.6,75.2,955,0,1,1
Black Pepper,19.8,30.4,23.9,27.6,67.1,75.1,155,1,1,1
Black Pepper,21.1,34.3,24.0,35.9,69.3,78.6,1263,0,1,1
Black Pepper,20.6,28.2,18.0,35.9,66.8,76.5,303,1,1,1
Black Pepper,19.7,32.6,17.3,26.8,73.4,78.9,153,0,1,0
Black Pepper,21.7,34.7,19.1,33.4,67.5,77.7,630,1,1,1
Black Pepper,18.8,31.9,17.4,42.1,72.6,75.4,887,0,1,1
Black Pepper,19.8,34.6,21.7,42.1,72.0,88.6,1290,1,0,1
Black Pepper,20.2,28.4,23.3,27.0,66.2,75.1,1463,0,1,1
Black Pepper,20.7,30.9,21.7,26.8,63.5,86.0,687,1,1,1
Black Pepper,22.7,29.8,23.2,30.3,66.1,77.3,138,1,1,1
Black Pepper,19.2,33.1,19.0,42.5,72.4,88.7,1136,1,1,1
Black Pepper,21.1,34.9,16.6,27.6,63.4,88.4,870,0,1,1
Black Pepper,21.6,29.8,22.4,39.4,67.9,84.8,699,0,1,1
Black Pepper,18.3,32.6,18.6,27.0,72.1,85.1,498,0,1,1
Black Pepper,21.6,29.4,21.7,37.5,65.3,75.1,778,1,1,1
Black Pepper,19.0,32.0,17.7,32.1,69.6,89.8,541,1,1,1
Black Pepper,18.4,31.2,15.8,40.8,63.7,88.2,1148,1,1,1
Black Pepper,23.7,34.8,24.9,29.7,61.6,88.4,839,0,1,1
Black Pepper,23.8,32.3,16.6,37.8,71.9,84.9,1321,1,1,1
Black Pepper,22.9,30.4,24.9,29.7,61.5,80.2,838,1,1,1
Black Pepper,19.8,28.8,24.8,39.3,64.1,88.4,395,0,1,1
Black Pepper,18.6,29.1,22.9,42.5,72.8,79.4,1284,1,1,1
Black Pepper,22.1,29.6,21.6,27.5,65.2,83.4,858,1,1,1
Black Pepper,20.6,29.8,20.8,42.3,74.6,76.5,350,0,1,1
Black Pepper,18.7,34.0,23.7,36.9,74.7,88.8,954,0,0,1
